21-Nov-2024 09:05:01 (2024/326)     Mooring Position Report for TAO

 BUOY                     --------- Deployed ----------   ------------- Most Recent* -----------
  ID     Site     WMO #      Date       Lat     Long        Date/Time (UTC)      Lat     Long
------------------------------------------------------------------------------------------------
DM467A   8N95W    43301   2023-03-15  8 03.1N  94 55.2W   2023-10-01 12:00:00  8 03.6N  94 53.9W
DM468A   5N95W    32303   2023-03-18  5 04.1N  94 57.4W   2024-10-21 12:00:00  5 03.8N  94 56.9W
DM469A   2N95W    32320   2023-03-19  1 59.2N  95 19.8W   2024-10-21 12:00:00  1 59.2N  95 20.9W
DM470A    095W    32321   2023-03-20  0 06.2N  95 19.1W   2024-10-21 12:00:00  0 08.4N  95 32.5W
DM471A   2S95W    32322   2023-03-21  1 59.0S  95 08.8W   2024-09-04 12:00:00  1 58.5S  95 08.6W
DM472A   5S95W    32304   2023-03-25  4 58.5S  94 59.7W   2024-10-21 12:00:00  4 59.0S  94 59.8W
DM473A   8S95W    32305   2023-03-27  7 55.2S  95 14.4W   2024-10-21 12:00:00  7 55.4S  95 14.2W
DM480A  8N110W    43001   2023-04-10  8 02.1N 110 09.2W   2024-10-21 12:00:00  8 02.6N 110 09.5W
DM479A  5N110W    32315   2023-04-09  4 58.7N 110 04.3W   2024-10-21 12:00:00  4 57.9N 110 04.0W
DM478A  2N110W    32316   2023-04-08  2 02.5N 110 01.6W   2024-10-21 12:00:00  2 03.2N 110 02.5W
DM476A  2S110W    32317   2023-04-06  1 59.1S 109 58.2W   2024-10-21 12:00:00  1 58.7S 109 58.9W
DM475A  5S110W    32318   2023-04-03  4 58.6S 109 58.6W   2024-10-21 12:00:00  4 58.1S 109 58.7W
DM474B  8S110W    32319   2023-04-04  7 59.8S 110 03.1W   2024-10-21 12:00:00  7 59.8S 110 02.9W
DM513A  2N125W    51016   2024-09-28  1 57.4N 125 03.2W   2024-10-21 12:00:00  1 57.9N 125 03.4W
DM514A   0125W    51011   2024-09-29  0 10.1S 124 24.8W   2024-10-21 12:00:00  0 10.8S 124 22.9W
DM515A  2S125W    51017   2024-09-30  2 03.7S 124 50.5W   2024-10-21 12:00:00  2 04.6S 124 50.8W
DM512A  9N140W    51006   2024-09-21  9 00.4N 140 14.4W   2024-10-21 12:00:00  8 59.5N 140 14.6W
DM519A  5N140W    51007   2024-10-09  5 02.1N 139 59.3W   2024-10-21 12:00:00  5 01.4N 139 59.6W
DM518A  2N140W    51008   2024-10-08  1 58.2N 140 01.4W   2024-10-21 12:00:00  1 58.1N 140 01.3W
DM517A   0140W    51311   2024-10-07  0 04.4S 139 54.5W   2024-10-21 12:00:00  0 04.4S 139 52.8W
DM516A  2S140W    51009   2024-10-06  2 02.1S 139 59.7W   2024-10-21 12:00:00  2 01.5S 139 59.8W
DM439A  5S140W    51014   2022-03-22  4 58.5S 139 55.3W   2024-10-21 12:00:00  4 58.1S 139 55.0W
DM501A  2N155W    51021   2023-10-07  1 59.7N 153 43.8W   2024-10-21 12:00:00  2 00.0N 153 44.2W
DM500A   0155W    51023   2023-10-05  0 09.2N 153 16.9W   2024-10-21 12:00:00  0 08.0N 153 16.2W
DM499A  2S155W    51022   2023-10-03  2 01.5S 152 04.6W   2024-10-21 12:00:00  2 02.9S 152 03.8W
DM463B  5S155W    51019   2022-10-05  5 00.7S 154 56.0W   2024-10-21 12:00:00  5 01.7S 154 55.9W
DM464B  8S155W    51302   2022-10-06  8 18.2S 155 02.1W   2024-10-21 12:00:00  8 18.4S 155 02.3W
DM511A  8N170W    51309   2024-09-02  7 59.7N 170 02.9W   2024-10-21 12:00:00  7 59.5N 170 01.0W
DM510A  5N170W    51303   2024-09-01  5 00.8N 169 58.0W   2024-10-21 12:00:00  5 00.8N 169 56.8W
RC013A  2N170W    51305   2024-08-31  1 59.8N 170 00.1W   2024-10-21 12:00:00  2 00.4N 170 00.1W
DM509A   0170W    51010   2024-08-29  0 05.6S 169 41.8W   2024-10-21 12:00:00  0 05.0N 169 42.1W
RC012A  2S170W    51306   2024-08-28  1 38.2S 167 55.8W   2024-10-21 12:00:00  1 38.9S 167 56.0W
DM493A  5S170W    51304   2023-09-19  4 57.3S 167 30.2W   2024-10-21 12:00:00  4 57.1S 167 30.1W
DM492A  8S170W    51310   2023-09-17  7 58.4S 169 59.5W   2024-10-21 12:00:00  7 57.5S 169 59.2W
RC010A  2N180W    52310   2024-08-18  2 00.2N 179 49.2W   2024-10-21 12:00:00  1 60.0N 179 49.9W
DM508A   0180W    52311   2024-08-19  0 01.7N 179 55.4W   2024-10-21 12:00:00  0 01.4N 179 55.6W
RC011A  2S180W    52312   2024-08-20  1 56.6S 179 48.0W   2024-10-21 12:00:00  1 56.9S 179 48.2W
RC009A  8N165E    52006   2024-07-29  8 02.8N 165 07.9E   2024-10-21 12:00:00  8 02.1N 165 09.4E
DM502A  5N165E    52003   2024-07-30  5 05.0N 165 00.2E   2024-10-21 12:00:00  5 05.1N 165 00.6E
DM503A  2N165E    52001   2024-07-31  1 59.9N 164 22.4E   2024-10-21 12:00:00  2 00.2N 164 20.5E
DM504A   0165E    52321   2024-08-03  0 00.8N 163 15.6E   2024-10-21 12:00:00  0 01.3N 163 14.9E
DM505A  2S165E    52002   2024-08-04  1 59.0S 163 30.1E   2024-10-21 12:00:00  1 58.3S 163 29.9E
DM506A  5S165E    52004   2024-08-06  5 01.0S 165 11.4E   2024-10-21 12:00:00  5 01.3S 165 11.2E
DM507A  8S165E    52007   2024-08-08  8 01.5S 164 48.7E   2024-10-21 12:00:00  8 01.9S 164 49.8E

* "Most Recent" position :
     TAO Refresh is released after 30 day delay

